instance,ks-noInit-noLS,ks-noInit-shortLS,ks-noInit-LS,ks-noInit-LSnonPerm,ks-mNEH-noLS,ks-mNEH-shortLS,ks-mNEH-LS,ks-mNEH-LSnonPerm,ks-NEH-noLS,ks-NEH-shortLS,ks-NEH-LS,ks-NEH-LSnonPerm,ks-LK-noLS,ks-LK-shortLS,ks-LK-LS,ks-LK-LSnonPerm,timeMeasure,instanceSet,bufferType,instanceSize
LGF-Leipzig-100-80000-3--minTime-53-spanBuf-14305-time,3.56657031644415,3.93310505761402,4,4,3.42729839045973,3.84824582176665,4,4,3.42305716989124,4,4,4,2.67826303817226,1.82119647386844,1,4,time,Leipzig,spanBuf,mid
LGF-Leipzig-150-80000-1--minTime-86-interBuf-2848-time,2.91167797135209,2.78171768884511,2.91333532554482,2.98696692883708,2.86535617141523,2.81815641609108,2.86248298226876,2.92673792953785,2.77472118405005,2.79759165734253,2.8393711342963,2.88839287031878,1.90092303067665,1,3.08208785550621,3.13844108943307,time,Leipzig,interBuf,large
LGF-Leipzig-150-80000-1--minTime-86-spanBuf-15822-time,1,1.77596688309799,2.99188552124599,1.85121926754287,1.63515617106288,2.43503636947204,3.16767536103,2.16247166213845,1.66934868086671,2.1366895624769,3.19161223906651,2.45680835352022,1.32338220769301,2.10847669363386,3.16673945513641,2.25925788145154,time,Leipzig,spanBuf,large
LGF-Leipzig-150-80000-2--minTime-85-interBuf-3082-time,1,1.38962027244223,2.10559182813102,1.61079630858976,1.13132905015758,1.61562926996867,2.20851817576995,1.67655306575883,1.15037001688817,1.53006195683954,2.21474711689837,1.67659727350277,1.03777493253965,2.16871167484651,1.85771018255307,2.18545255112575,time,Leipzig,interBuf,large
LGF-Leipzig-150-80000-2--minTime-85-spanBuf-15894-time,2.41651355145753,2.68653650494814,3.2213499160576,2.77017984080804,1,2.70870289473095,3.49421277228099,1.60488948086992,1.32416221225025,2.68643557543403,3.46885497132125,1.65940839220125,1.6985214542383,3.43574746814871,3.49828756202164,3.36839380338211,time,Leipzig,spanBuf,large
LGF-Leipzig-150-80000-3--minTime-77-interBuf-2693-time,1.14146910819593,1.3247813346993,1.37675556647952,2.26845529047546,1.10012378524763,1.37532533777646,1.54299543944667,3.11819407110725,1,1.39379525572521,1.61984726210735,3.17814219350791,2.07530074753422,1.80976514351299,1.65181274751646,1.73151712420827,time,Leipzig,interBuf,large
LGF-Leipzig-150-80000-3--minTime-77-spanBuf-15056-time,3.36875792481406,1.26418444173744,1,3.03531736315981,1.54925336581434,2.14078803801185,2.60169847497006,4,1.51186069088883,2.27362288754996,2.54890127217548,4,1.07785347585533,2.74850063182422,3.4688171114477,4,time,Leipzig,spanBuf,large
LGF-Leipzig-50-80000-1--minTime-27-interBuf-4238-time,4,4,4,4,1,3,4,4,1.11951219512195,4,4,4,4,4,4,4,time,Leipzig,interBuf,small
LGF-Leipzig-50-80000-1--minTime-27-spanBuf-14659-time,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,time,Leipzig,spanBuf,small
LGF-Leipzig-50-80000-2--minTime-28-interBuf-2280-time,2.06428380848161,2.08083724093458,2.10298281740793,2.99670754008909,2.06428380848161,2.07457925786628,2.0939829336435,3.01272632793874,2.06428380848161,2.0750893927457,2.09506812965972,3.25677729105228,2.13478701564836,1.5141270842124,1,1.74144245050118,time,Leipzig,interBuf,small
LGF-Leipzig-50-80000-2--minTime-28-spanBuf-14815-time,4,4,4,4,4,2,4,4,4,3,4,4,1,4,4,4,time,Leipzig,spanBuf,small
LGF-Leipzig-50-80000-3--minTime-28-interBuf-3949-time,4,4,4,4,1,1.66351768336103,4,4,1,1.50992562702746,4,4,4,4,4,4,time,Leipzig,interBuf,small
LGF-Leipzig-50-80000-3--minTime-28-spanBuf-15011-time,2,4,4,4,3,4,4,4,4,4,4,4,1,4,4,4,time,Leipzig,spanBuf,small
